"nivel","nombre","tipos","plazas"
"1","JEFE (A) DE UNIDAD II -JEFE (A) DE UNIDAD DE MOVIMIENTOS SOCIALES","REGULAR","1"
"1","JEFE (A) DE UNIDAD II -JEFE (A) DE UNIDAD DE PRE-INVERSI�N Y EVALUACI�N DE PROYECTOS","REGULAR","1"
"1","JEFE (A) DE UNIDAD II -JEFE (A) DE UNIDAD ENERG�A E HIDROCARBUROS","REGULAR","1"
"1","JEFE (A) DE UNIDAD II -JEFE (A) DE UNIDAD ESPECIALIZADA PARA LAS PERSONAS CON DISCAPACIDAD","REGULAR","1"
"1","JEFE (A) DE UNIDAD II -JEFE (A) DE UNIDAD SANEAMIENTO B�SICO Y VIVIENDA","REGULAR","1"
"1","JEFE (A) DE UNIDAD II -JEFE DE UNIDAD DE DEFENSA LEGAL","REGULAR","1"
"1","JEFE (A) DE UNIDAD II -JEFE DE UNIDAD DE PLANES ESTRAT�GICOS Y ESTAD�STICAS","REGULAR","1"
"1","JEFE DE UNIDAD II - JEFE DE LA UNIDAD DE ADMINISTRACION, COBRO Y AUTOMATIZACION","REGULAR","1"
"1","JEFE DE UNIDAD II - JEFE DE UNIDAD TECNICA DE GEOLOGIA, PROYECTOS MINEROS Y ENERGETICOS","REGULAR","1"
"1","NOTARIO DE GOBIERNO","REGULAR","1"
"1","PERFORISTA BRIGADA I","EVENTUAL","1"
"1","PORTERO - SERENO (A)","REGULAR","4"
"1","PORTERO - SERENO (A) I","REGULAR","1"
"1","PORTERO - SERENO (A) II","REGULAR","1"
"1","PORTERO - SERENO - PASTOR LLAMAS CENTRO TIKA UTA","REGULAR","1"
"1","PORTERO - SERENO SEDAG","REGULAR","1"
"1","PORTERO - SERENO(A)  SDMAYMT","REGULAR","1"
"1","PORTERO - SERENO(A) - AYUDANTE PRODUCCI�N DE PECES CENTRO  PARIA","REGULAR","1"
"1","PORTERO - SERENO(A) - AYUDANTE PRODUCCI�N DE QUINUA CENTRO SALINAS","REGULAR","1"
"1","PORTERO - SERENO(A) - PASTOR BOVINOS CENTRO CADEA","REGULAR","1"
"1","PORTERO - SERENO(A) - PASTOR OVINOS CENTRO TOMA","REGULAR","1"
"1","PORTERO - SERENO(A) CABA�A FORESTAL","REGULAR","1"
"1","PORTERO - SERENO(A) DPEIC","REGULAR","1"
"1","PORTERO - SERENO(A) SDMAAYMT (JARAT MARKA)","REGULAR","1"
"1","PROFESIONAL ADMINISTRATIVO  III - ADMINISTRADOR FINANCIERO","REGULAR","1"
"1","PROFESIONAL ADMINISTRATIVO I - ABOGADO","REGULAR","1"
"1","PROFESIONAL ADMINISTRATIVO I - AN�LISIS ADMINISTRATIVO","REGULAR","1"
"1","PROFESIONAL ADMINISTRATIVO I - AN�LISIS ADMINISTRATIVO  Y PROCESOS DE CONTRATACI�N","REGULAR","1"
"1","PROFESIONAL ADMINISTRATIVO I - AN�LISIS JURIDICO","REGULAR","1"
"1","PROFESIONAL ADMINISTRATIVO I - AN�LISIS Y ELABORACI�N DE CONTRATOS","REGULAR","1"
"1","PROFESIONAL ADMINISTRATIVO I - ANTROP�LOGO","REGULAR","1"
"1","PROFESIONAL ADMINISTRATIVO I - ASISTENTE NOTARIO","REGULAR","1"
"1","PROFESIONAL ADMINISTRATIVO I - BANCOS Y DEUDAS","REGULAR","1"
"1","PROFESIONAL ADMINISTRATIVO I - COMPRAS MENORES","REGULAR","1"
"1","PROFESIONAL ADMINISTRATIVO I - EJECUCI�N DE GARANTIAS","REGULAR","1"
"1","PROFESIONAL ADMINISTRATIVO I - EXIGIBLES","REGULAR","1"
"1","PROFESIONAL ADMINISTRATIVO I - GESTI�N INTERNA","REGULAR","1"
"1","PROFESIONAL ADMINISTRATIVO I - LICITACIONES","REGULAR","1"
"1","PROFESIONAL ADMINISTRATIVO I - NORMAS Y SERVICIOS TUR�STICOS","REGULAR","1"
"1","PROFESIONAL ADMINISTRATIVO I - PROCESOS ADMINISTRATIVOS","REGULAR","1"
"1","PROFESIONAL ADMINISTRATIVO I - PROCESOS LEGISLATIVOS","REGULAR","1"
"1","PROFESIONAL ADMINISTRATIVO I - PROGRAMACI�N DE OPERACIONES - PROG. NO RECURRENTES","REGULAR","1"
